id,name,iso639P3code,latitude,longitude,family_id,country_ids
biri1259,Biritai,bqq,-2.92042,137.68,lake1255,ID
blag1240,Blagar,beu,-8.31787,124.251,timo1261,ID
boan1242,Boano (Maluku),bzn,-2.95535,127.953,aust1307,ID
boan1243,Boano (Sulawesi),bzl,0.51152,120.992,aust1307,ID
bobo1254,Bobot,bty,-3.43514,130.179,aust1307,ID
bobo1255,Bobongko,bgb,-0.36759,121.922,aust1307,ID
bola1252,Bolango,bld,0.39044,123.888,aust1307,ID
bolo1268,Bolongan,blj,2.75927,117.293,aust1307,ID
bone1254,Bonerate,bna,-7.37657,121.792,aust1307,ID
bone1255,Bonerif,bnv,-2.09529,139.208,toro1256,ID
bong1287,Bonggo,bpg,-2.28044,139.576,aust1307,ID
budo1241,Budong-Budong,bdx,-2.07756,119.327,aust1307,ID
bugi1244,Buginese,bug,-4.47,119.977,aust1307,ID
buka1257,Bukar-Sadung Bidayuh,sdo,0.96817,110.657,aust1307,ID MY
buka1261,Bukat,bvk,1.29075,113.246,aust1307,ID MY
buki1247,Bukit Malay,bvu,-2.75049,115.64,aust1307,ID
buki1248,Bukitan,bkn,2.34947,114.895,aust1307,ID MY
buli1255,Buli (Indonesia),bzq,1.0008,128.443,aust1307,ID
buna1278,Bunak,bfn,-9.13618,125.216,timo1261,ID TL
bung1269,Bungku,bkz,-3.22197,122.212,aust1307,ID
buol1237,Buol,blf,0.97727,121.519,aust1307,ID
bura1276,Burate,bti,-2.79301,136.038,geel1240,ID
burm1264,Burmeso,bzu,-2.47582,138.203,,ID
buru1303,Buru (Indonesia),mhs,-3.43957,126.632,aust1307,ID
buru1304,Burusu,bqr,3.36912,117.012,aust1307,ID
buru1307,Burumakok,aip,-5.12217,140.03,nucl1709,ID
buru1308,Buruwai,asi,-3.54561,133.327,nucl1709,ID
busa1254,Busami,bsm,-1.73681,136.032,aust1307,ID
busa1255,Busang Kayan,bfg,0.03494,115.401,aust1307,ID
buso1238,Busoa,bup,-5.60524,122.622,aust1307,ID
camp1262,Campalagian,cml,-3.47851,119.16863,aust1307,ID
casu1237,Casuarina Coast Asmat,asc,-6.43005,138.566,nucl1709,ID
cent2053,South Barisan Malay,pse,-3.79673,103.137,aust1307,ID
cent2072,Central Masela,mxz,-8.15414,129.865,aust1307,ID
cent2117,Central Asmat,cns,-5.80391,138.471,nucl1709,ID
cent2118,Central Awyu,awu,-6.29363,139.693,nucl1709,ID
ciac1237,Cia-Cia,cia,-5.68289,122.791,aust1307,ID
cita1245,Citak,txt,-5.58276,139.461,nucl1709,ID
coas1295,Coastal Konjo,kjc,-5.41532,120.304,aust1307,ID
coll1240,Col,liw,-3.52245,103.451,aust1307,ID
daak1235,Da'a Kaili,kzf,-1.21051,119.527,aust1307,ID
dabe1239,Dabe,dbe,-2.05082,139.116,toro1256,ID
daii1240,Dai,dij,-7.55894,129.687,aust1307,ID
dakk1238,Dakka,dkk,-3.33671,119.235,aust1307,ID
dama1272,Damal,uhn,-4.17345,137.496,,ID
damp1237,Dampelas,dms,0.70234,120.219,aust1307,ID
daoo1238,Dao,daz,-3.28643,136.421,nucl1709,ID
dawe1237,Dawera-Daweloor,ddw,-7.76324,130.06,aust1307,ID
dela1251,Dela-Oenale,row,-10.8469,122.852,aust1307,ID
demi1242,Demisa,dei,-2.54564,136.694,geel1240,ID
demm1245,Dem,dem,-3.72183,137.632,,ID
demt1241,Demta,dmy,-2.38475,140.166,sent1261,ID
deng1253,Dengka,dnk,-10.7866,122.946,aust1307,ID
dera1245,Dera (Indonesia),kbv,-3.52309,140.947,sena1264,ID PG
dhao1237,Dhao,nfa,-10.8098,122.658,aust1307,ID
diuw1238,Diuwe,diy,-5.12627,139.455,nucl1709,ID
dobe1238,Dobel,kvo,-6.32531,134.638,aust1307,ID
dond1249,Dondo,dok,0.80348,120.707,aust1307,ID
dout1240,Doutai,tds,-3.24832,138.22,lake1255,ID
duan1242,Duano,dup,0.72162,103.46759,aust1307,ID MY
dubu1240,Dubu,dmu,-3.62591,140.768,pauw1244,ID
duri1242,Duri,mvp,-3.37081,119.871,aust1307,ID
duri1243,Duriankere,dbn,-1.348,130.958,sout3418,ID
dusn1237,Dusner,dsn,-2.73859,134.391,aust1307,ID
dusu1267,Dusun Witu,duw,-1.57408,114.979,aust1307,ID
dusu1269,Dusun Malang,duq,-0.85277,115.392,aust1307,ID
dusu1271,Dusun Deyah,dun,-1.95514,115.578,aust1307,ID
duvl1238,Duvle-Wano-Pidgin,,-3.013068,138.200358,pidg1258,ID
duvl1242,Duvle,duv,-3.21832,137.964,lake1255,ID
east2440,East Makian,mky,0.07337,127.423,aust1307,ID
east2462,East Masela,vme,-8.13455,129.873,aust1307,ID
east2465,East Tarangan,tre,-6.76213,134.288,aust1307,ID
east2472,East Damar,dmr,-7.16991,128.636,aust1307,ID
east2485,Eastern Penan,pez,4.5915,114.584,aust1307,BN ID MY
eder1237,Edera Awyu,awy,-7.0038,139.914,nucl1709,ID
edop1238,Edopi,dbf,-3.11078,137.387,lake1255,ID
eipo1242,Eipomek,eip,-4.33691,140.045,nucl1709,ID
ekar1243,Ekari,ekg,-3.88974,136.018,nucl1709,ID
elpa1240,Elpaputih,elp,-3.078,128.263,book1242,ID
else1239,Elseng,mrf,-3.00176,140.418,,ID
emba1238,Embaloh,emb,1.3156,112.63,aust1307,ID
empl1237,Emplawas,emw,-8.03209,129.721,aust1307,ID
emum1240,Emumu,enr,-3.74242,140.903,pauw1244,ID
ende1246,Ende,end,-8.70998,121.555,aust1307,ID
engg1245,Enggano,eno,-5.38846,102.245,aust1307,ID
enre1239,Enrekang,ptt,-3.53848,119.66,aust1307,ID
erit1239,Eritai,ert,-2.71182,138.053,lake1255,ID
