nama	kelas	n_pemakai	homograf_kbbi
Willy	orang:nama-depan	12	tidak
Hilda	orang:nama-depan	12	tidak
Hartono	orang:nama-keluarga	12	tidak
Widjaja	orang:nama-keluarga	12	tidak
Nasution	orang:nama-keluarga	12	tidak
Cynthia	orang:nama-depan	11	tidak
Edi	orang:nama-depan	11	tidak
Agung	orang:nama-depan	11	ya
Laura	orang:nama-depan	11	tidak
R.	orang:nama-depan	11	tidak
George	orang:nama-depan	11	tidak
Sutan	orang:nama-depan	11	ya
Sri	orang:nama-depan	11	ya
Ilham	orang:nama-depan	11	ya
Amalia	orang:nama-depan	11	tidak
Hadi / Hady	orang:nama-depan	11	tidak
Mohamad	orang:nama-depan	11	tidak
Sari	orang:nama-depan	11	ya
Nila	orang:nama-depan	11	ya
Johnny	orang:nama-depan	11	tidak
Mariana	orang:nama-depan	11	tidak
Martin	orang:nama-depan	11	tidak
Gina	orang:nama-depan	11	tidak
Gabriella	orang:nama-depan	11	tidak
Jauhari	orang:nama-keluarga	11	ya
Sari	orang:nama-keluarga	11	ya
Nugroho	orang:nama-keluarga	11	tidak
Papilaya	orang:nama-keluarga	11	tidak
Dewi	orang:nama-depan	10	ya
Antonius	orang:nama-depan	10	tidak
Billy	orang:nama-depan	10	tidak
Gita	orang:nama-depan	10	ya
Astrid	orang:nama-depan	10	tidak
Edwin	orang:nama-depan	10	tidak
Emmy	orang:nama-depan	10	tidak
Ivan	orang:nama-depan	10	tidak
Cahya	orang:nama-depan	10	tidak
Adrian	orang:nama-depan	10	tidak
Hans	orang:nama-depan	10	tidak
Emilia	orang:nama-depan	10	tidak
Andy	orang:nama-depan	10	tidak
Anwar	orang:nama-depan	10	tidak
Akbar	orang:nama-depan	10	ya
Helena	orang:nama-depan	10	tidak
Robby	orang:nama-depan	10	tidak
Claudia	orang:nama-depan	10	tidak
Said	orang:nama-depan	10	ya
Danny	orang:nama-depan	10	tidak
Pieter	orang:nama-depan	10	tidak
Mimi	orang:nama-depan	10	ya
Sofia	orang:nama-depan	10	tidak
Frederik	orang:nama-depan	10	tidak
Chandra	orang:nama-keluarga	10	tidak
Lin	orang:nama-keluarga	10	ya
Irawan	orang:nama-keluarga	10	tidak
Sitorus	orang:nama-keluarga	10	tidak
Hadju	orang:nama-keluarga	10	tidak
Waworuntu	orang:nama-keluarga	10	tidak
Iwan	orang:nama-depan	9	tidak
Dian	orang:nama-depan	9	ya
Alan	orang:nama-depan	9	tidak
Andreas	orang:nama-depan	9	tidak
Jacob	orang:nama-depan	9	tidak
Diah	orang:nama-depan	9	ya
Intan	orang:nama-depan	9	ya
Aloysius	orang:nama-depan	9	tidak
Simon	orang:nama-depan	9	tidak
Eddie	orang:nama-depan	9	tidak
Endi	orang:nama-depan	9	tidak
Ibrahim	orang:nama-depan	9	tidak
Abraham	orang:nama-depan	9	tidak
Agatha	orang:nama-depan	9	tidak
Karina	orang:nama-depan	9	ya
Lukman	orang:nama-depan	9	tidak
Lydia	orang:nama-depan	9	tidak
Arthur	orang:nama-depan	9	tidak
Chelsea	orang:nama-depan	9	tidak
Sheila	orang:nama-depan	9	tidak
Chandra	orang:nama-depan	9	tidak
Edy	orang:nama-depan	9	tidak
Aditya	orang:nama-depan	9	tidak
Halim	orang:nama-depan	9	ya
Mainaky	orang:nama-keluarga	9	tidak
Huang	orang:nama-keluarga	9	tidak
