token	kelas	kbbi_pos	kbbi_semantic_class
finansial	organisasi:perusahaan	Adjektiva	
firdaus	orang:nama-keluarga	Nomina	
firman	orang:nama-depan,orang:nama-keluarga	Nomina	
fitri	orang:nama-depan	Adjektiva	
flat	organisasi:perusahaan	Nomina	
flora	orang:nama-depan	Nomina	
forum	organisasi:perusahaan	Nomina	
fuad	orang:nama-depan	Nomina	
futsal	organisasi:perusahaan	Nomina	action
gabus	wilayah:kecamatan	Nomina	
gadang	wilayah:kecamatan	Adjektiva	
gading	orang:nama-keluarga,organisasi:perusahaan,wilayah:kecamatan	Nomina	
gadis	wilayah:kecamatan	Nomina	
gadung	wilayah:kecamatan	Nomina	
gafur	orang:nama-keluarga	Adjektiva	
gaib	wilayah:kecamatan	Verba	
gajah	organisasi:perusahaan,wilayah:kecamatan		
gajahmungkur	wilayah:kecamatan	Nomina	proper
gala	wilayah:kecamatan	Nomina	
galang	organisasi:perusahaan,wilayah:kecamatan	Nomina	
galangan	organisasi:perusahaan	Nomina	
galuh	orang:nama-depan	Nomina	
galur	wilayah:kecamatan	Nomina	
gamal	orang:nama-depan	Nomina	
gambir	wilayah:kecamatan	Nomina	
gambut	wilayah:kecamatan	Nomina	
gamping	wilayah:kecamatan	Nomina	
gandapura	wilayah:kecamatan		
ganding	wilayah:kecamatan	Verba	
gandum	organisasi:perusahaan	Nomina	
gani	orang:nama-depan,orang:nama-keluarga	Adjektiva	
ganjar	orang:nama-depan	Verba	
gantar	wilayah:kecamatan	Nomina	
ganting	wilayah:kecamatan	Adjektiva	
gantung	wilayah:kecamatan	Verba	
gapura	organisasi:perusahaan,wilayah:kecamatan	Nomina	
garam	organisasi:perusahaan	Nomina	
garda	organisasi:perusahaan	Nomina	
garing	wilayah:kecamatan	Adjektiva	
garuda	organisasi:perusahaan	Nomina	
garung	wilayah:kecamatan	Nomina	
garut	wilayah:kabupaten-kota,wilayah:kecamatan	Verba	
gas	organisasi:perusahaan	Nomina	
gatot	orang:nama-depan	Nomina	
gaung	wilayah:kecamatan	Nomina	
gaya	organisasi:perusahaan	Nomina	
gayam	wilayah:kecamatan	Nomina	
gayamsari	wilayah:kecamatan	Nomina	proper
gebang	wilayah:kecamatan	Nomina	
gedang	wilayah:kecamatan		
gede	orang:nama-keluarga	Adjektiva	
gedong	wilayah:kecamatan	Nomina	
gedongtengen	wilayah:kecamatan	Nomina	proper
gedung	organisasi:perusahaan,wilayah:kecamatan	Nomina	
geger	wilayah:kecamatan	Adjektiva	
gelam	wilayah:kecamatan	Nomina	
gelang	wilayah:kecamatan	Nomina	
gelugur	wilayah:kecamatan	Nomina	
gema	organisasi:perusahaan	Nomina	
gembong	wilayah:kecamatan	Nomina	
gemilang	organisasi:perusahaan	Adjektiva	
gempol	wilayah:kecamatan	Nomina	
gen	organisasi:perusahaan	Nomina	
gending	wilayah:kecamatan	Nomina	
geneng	wilayah:kecamatan	Adjektiva	
generasi	organisasi:perusahaan		
genteng	wilayah:kecamatan		
genuk	wilayah:kecamatan	Nomina	proper
geragai	wilayah:kecamatan		
gerih	wilayah:kecamatan	Nomina	
gerogol	wilayah:kecamatan	Nomina	
gerung	orang:nama-keluarga,wilayah:kecamatan	Nomina	
getasan	wilayah:kecamatan	Nomina	proper
gianyar	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
gilang	orang:nama-depan	Adjektiva	
giri	wilayah:kecamatan	Nomina	
gita	orang:nama-depan	Nomina	
global	organisasi:perusahaan	Adjektiva	
godean	wilayah:kecamatan	Nomina	locus
godong	wilayah:kecamatan	Nomina	
gondang	wilayah:kecamatan	Nomina	
gondokusuman	wilayah:kecamatan	Nomina	locus
gondomanan	wilayah:kecamatan	Nomina	locus
gorontalo	wilayah:kabupaten-kota,wilayah:provinsi	Nomina	proper
gowa	organisasi:perusahaan,wilayah:kabupaten-kota	Nomina	proper
graha	organisasi:perusahaan	Verba	
gresik	organisasi:perusahaan,wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
griya	organisasi:perusahaan	Nomina	
grobogan	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	locus
grogol	wilayah:kecamatan	Nomina	proper
grup	organisasi:perusahaan	Nomina	
guci	wilayah:kecamatan	Nomina	
gudang	organisasi:perusahaan		
gudeg	organisasi:perusahaan		
gula	organisasi:perusahaan	Nomina	
guna	orang:nama-depan,organisasi:perusahaan,wilayah:kecamatan	Nomina	
gunawan	orang:nama-keluarga,organisasi:perusahaan	Nomina	
guntur	wilayah:kecamatan	Nomina	
gunung	organisasi:perusahaan,wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
gunungkidul	wilayah:kabupaten-kota	Nomina	proper
gunungpati	wilayah:kecamatan	Nomina	proper
gunungsitoli	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
gurah	wilayah:kecamatan	Verba	
gurung	wilayah:kecamatan	Nomina	
gusti	orang:nama-depan,orang:nama-keluarga	Nomina	
habib	orang:nama-depan	Nomina	
habsyi	orang:nama-keluarga	Nomina	proper
hafiz	orang:nama-depan	Nomina	
hajar	orang:nama-depan	Verba	
haji	wilayah:kecamatan	Nomina	
hakim	orang:nama-depan,orang:nama-keluarga	Nomina	
halim	orang:nama-depan,orang:nama-keluarga,wilayah:kecamatan	Adjektiva	
hampang	wilayah:kecamatan	Nomina	
hampar	wilayah:kecamatan	Verba	
hamparan	wilayah:kecamatan	Nomina	
hamzah	orang:nama-keluarga	Nomina	
hana	orang:nama-depan,organisasi:perusahaan	Adjektiva	
hanafi	orang:nama-keluarga	Nomina	abstract
handal	organisasi:perusahaan		
hangat	wilayah:kecamatan	Adjektiva	
hangus	wilayah:kecamatan	Verba	
hanif	orang:nama-depan	Adjektiva	
hara	orang:nama-keluarga	Nomina	
harapan	orang:nama-depan,organisasi:perusahaan,wilayah:kecamatan	Nomina	
hari	orang:nama-depan,orang:nama-keluarga,wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
harian	wilayah:kecamatan	Nomina	
haris	orang:nama-depan,orang:nama-keluarga	Nomina	
harta	organisasi:perusahaan,wilayah:kecamatan	Nomina	
hartawan	orang:nama-keluarga	Nomina	
harum	organisasi:perusahaan	Adjektiva	
harus	wilayah:kecamatan	Adverbia	
hasan	orang:nama-depan,orang:nama-keluarga	Adjektiva	
hatta	orang:nama-keluarga	Partikel	
haur	wilayah:kecamatan	Nomina	
hayati	orang:nama-depan,orang:nama-keluarga		
helm	orang:nama-keluarga	Nomina	
henry	orang:nama-depan,orang:nama-keluarga	Nomina	
hero	organisasi:perusahaan	Nomina	
hidayah	orang:nama-keluarga	Nomina	
hidayat	orang:nama-depan,orang:nama-keluarga		
hidup	organisasi:perusahaan		
hijau	wilayah:kecamatan	Nomina	
hikmah	wilayah:kecamatan	Nomina	
hikmat	orang:nama-depan	Nomina	
hilir	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
hitam	wilayah:kecamatan		
hotel	organisasi:perusahaan	Nomina	
hubung	wilayah:kecamatan	Verba	
hulu	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
hut	organisasi:perusahaan	Nomina	loan
ibu	orang:nama-depan,wilayah:kecamatan	Nomina	
ibun	wilayah:kecamatan	Nomina	
ida	orang:nama-depan	Nomina	proper
idah	orang:nama-keluarga	Nomina	
idaman	organisasi:perusahaan	Nomina	
ihsan	orang:nama-depan,wilayah:kecamatan	Adjektiva	
ikhtiar	orang:nama-depan	Nomina	
ikhwan	orang:nama-depan	Nomina	
ilham	orang:nama-depan,orang:nama-keluarga	Nomina	
ilir	wilayah:kabupaten-kota,wilayah:kecamatan		
ilu	wilayah:kecamatan	Adjektiva	
imago	organisasi:perusahaan	Nomina	
imaji	organisasi:perusahaan	Nomina	
imam	orang:nama-depan	Nomina	
iman	orang:nama-depan	Nomina	
imogiri	wilayah:kecamatan	Nomina	proper
imperial	organisasi:perusahaan	Adjektiva	
impian	organisasi:perusahaan	Nomina	
ina	orang:nama-depan,organisasi:perusahaan		
indah	orang:nama-depan,organisasi:perusahaan	Adjektiva	
india	organisasi:perusahaan	Nomina	proper
indonesia	organisasi:perusahaan	Nomina	proper
indra	orang:nama-depan,orang:nama-keluarga,wilayah:kecamatan	Nomina	
indramayu	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
industri	organisasi:perusahaan	Nomina	
informasi	organisasi:perusahaan	Nomina	
informatika	organisasi:perusahaan	Nomina	
infrastruktur	organisasi:perusahaan	Nomina	
ingin	wilayah:kecamatan		
inovasi	organisasi:perusahaan	Nomina	
insani	orang:nama-keluarga	Adjektiva	
intan	orang:nama-depan,organisasi:perusahaan,wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
integrasi	organisasi:perusahaan	Nomina	
internasional	organisasi:perusahaan	Adjektiva	
inti	organisasi:perusahaan	Nomina	
investasi	organisasi:perusahaan	Nomina	
ipuh	wilayah:kecamatan	Nomina	
ira	orang:nama-depan	Nomina	
iram	wilayah:kecamatan	Adjektiva	
iris	orang:nama-depan	Nomina	
isak	orang:nama-depan	Nomina	
isim	wilayah:kecamatan		
islami	orang:nama-keluarga	Adjektiva	
isra	orang:nama-depan,organisasi:perusahaan	Nomina	
jabung	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
jadi	wilayah:kecamatan	Verba	
jagakarsa	wilayah:kecamatan	Nomina	proper
jago	organisasi:perusahaan	Nomina	
jaka	orang:nama-depan		
jakarta	organisasi:perusahaan,wilayah:kabupaten-kota,wilayah:provinsi	Nomina	proper
jalil	orang:nama-depan	Adjektiva	
jamal	orang:nama-depan	Nomina	
jambangan	wilayah:kecamatan	Nomina	
jambe	wilayah:kecamatan	Nomina	
jambi	wilayah:kabupaten-kota,wilayah:kecamatan,wilayah:provinsi	Nomina	proper
jamblang	wilayah:kecamatan	Nomina	
jambon	wilayah:kecamatan	Adjektiva	
jambu	wilayah:kecamatan	Nomina	
jamil	orang:nama-depan,orang:nama-keluarga		
jamu	organisasi:perusahaan	Nomina	
janggut	wilayah:kecamatan	Nomina	
jangka	wilayah:kecamatan	Nomina	
jangkang	wilayah:kecamatan	Nomina	
jangkar	wilayah:kecamatan	Nomina	
jangkat	wilayah:kecamatan	Nomina	
janji	wilayah:kecamatan	Nomina	
jap	orang:nama-keluarga	Adjektiva	
jaringan	organisasi:perusahaan	Nomina	
jaro	wilayah:kecamatan	Nomina	
jarum	organisasi:perusahaan		
jasa	organisasi:perusahaan	Nomina	
jati	organisasi:perusahaan,wilayah:kecamatan	Adjektiva	
jatinegara	wilayah:kecamatan	Nomina	proper
jauh	wilayah:kecamatan	Adjektiva	
jauhari	orang:nama-keluarga		
jauza	orang:nama-depan	Nomina	proper
jawa	organisasi:perusahaan,wilayah:kecamatan,wilayah:provinsi	Nomina	proper
jaya	orang:nama-keluarga,organisasi:perusahaan,wilayah:kabupaten-kota,wilayah:kecamatan	Adjektiva	
jayapura	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
jayawijaya	wilayah:kabupaten-kota	Nomina	proper
jebres	wilayah:kecamatan	Nomina	proper
jejawi	wilayah:kecamatan		
jelai	wilayah:kecamatan	Nomina	
jelang	orang:nama-depan	Verba	
jelita	orang:nama-depan,organisasi:perusahaan	Adjektiva	
jelutung	wilayah:kecamatan	Nomina	
jembar	organisasi:perusahaan	Adjektiva	
jember	wilayah:kabupaten-kota		
jembrana	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
jenangan	wilayah:kecamatan	Nomina	
jenawi	wilayah:kecamatan	Nomina	
jeneponto	wilayah:kabupaten-kota	Nomina	proper
jenu	wilayah:kecamatan	Nomina	
jepara	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
jernih	wilayah:kecamatan	Adjektiva	
jeruk	wilayah:kecamatan	Nomina	
jetis	wilayah:kecamatan	Verba	
jila	wilayah:kecamatan	Verba	
jim	orang:nama-depan	Nomina	
jin	orang:nama-depan	Nomina	
jirak	wilayah:kecamatan	Nomina	
jitu	wilayah:kecamatan		
jiwa	organisasi:perusahaan		
johan	orang:nama-depan,wilayah:kecamatan	Nomina	
johar	orang:nama-depan,wilayah:kecamatan	Nomina	locus
jombang	wilayah:kabupaten-kota,wilayah:kecamatan	Adjektiva	
jonggol	wilayah:kecamatan	Nomina	
jongkong	wilayah:kecamatan	Nomina	
jorong	wilayah:kecamatan	Adjektiva	
juang	orang:nama-keluarga,wilayah:kecamatan	Verba	
juli	wilayah:kecamatan	Nomina	tempo
junior	orang:nama-depan	Adjektiva	
junjung	wilayah:kecamatan	Verba	
jurai	wilayah:kecamatan	Nomina	
jurnal	organisasi:perusahaan	Nomina	
kabat	wilayah:kecamatan	Verba	
kabel	organisasi:perusahaan	Nomina	
kabung	wilayah:kecamatan	Nomina	
kade	orang:nama-depan	Nomina	
kadipaten	wilayah:kecamatan	Nomina	
kadir	orang:nama-keluarga	Adjektiva	
kagum	organisasi:perusahaan	Adjektiva	
kahar	orang:nama-keluarga	Nomina	
kaimana	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
kais	wilayah:kecamatan	Verba	
kajang	wilayah:kecamatan	Nomina	
kakap	wilayah:kecamatan	Nomina	
kakas	wilayah:kecamatan	Nomina	
kalang	wilayah:kecamatan	Nomina	
kalasan	wilayah:kecamatan	Nomina	locus
kaldu	organisasi:perusahaan	Nomina	
kali	wilayah:kecamatan	Nomina	
kalideres	wilayah:kecamatan	Nomina	proper
kalis	wilayah:kecamatan	Adjektiva	
kaliwungu	wilayah:kecamatan	Nomina	proper
kamal	orang:nama-depan,orang:nama-keluarga,wilayah:kecamatan	Adjektiva	
kamil	orang:nama-depan,orang:nama-keluarga		
kampa	wilayah:kecamatan	Nomina	
kampai	wilayah:kecamatan	Verba	
kampak	wilayah:kecamatan		
kampar	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
kampit	wilayah:kecamatan		
kampung	wilayah:kecamatan	Nomina	
kamu	wilayah:kecamatan		
kana	organisasi:perusahaan	Nomina	
kanan	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
kandis	wilayah:kecamatan	Nomina	
kang	orang:nama-depan	Nomina	
kangkung	wilayah:kecamatan	Nomina	
kantor	organisasi:perusahaan	Nomina	
kantung	organisasi:perusahaan	Nomina	
kapak	wilayah:kecamatan	Nomina	
kapal	organisasi:perusahaan	Nomina	
kapas	wilayah:kecamatan	Nomina	
kapital	organisasi:perusahaan	Nomina	
kapuas	organisasi:perusahaan,wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
kapuk	organisasi:perusahaan	Nomina	
kapur	wilayah:kecamatan	Nomina	
karang	orang:nama-keluarga,wilayah:kecamatan	Nomina	
karangan	wilayah:kecamatan	Nomina	
karanganyar	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
karangasem	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
karas	wilayah:kecamatan	Nomina	
karau	wilayah:kecamatan	Verba	
karawang	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
karel	orang:nama-depan	Nomina	
karim	orang:nama-depan,orang:nama-keluarga	Adjektiva	
karimun	organisasi:perusahaan,wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
karina	orang:nama-depan	Nomina	
karisma	orang:nama-depan,orang:nama-keluarga,organisasi:perusahaan	Nomina	
karma	orang:nama-keluarga	Nomina	
karo	wilayah:kabupaten-kota	Nomina	proper
kartika	orang:nama-depan,orang:nama-keluarga	Nomina	
karu	wilayah:kecamatan	Adjektiva	
karya	organisasi:perusahaan,wilayah:kecamatan	Nomina	
kasi	wilayah:kecamatan	Verba	
kasihan	wilayah:kecamatan	Nomina	
kasim	orang:nama-depan,orang:nama-keluarga	Adjektiva	
kasuari	wilayah:kecamatan	Nomina	
kasui	wilayah:kecamatan	Nomina	
kata	organisasi:perusahaan	Nomina	
katingan	organisasi:perusahaan,wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
kaum	wilayah:kecamatan	Nomina	
kauman	wilayah:kecamatan	Nomina	
kaur	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
kawan	organisasi:perusahaan		
kawasan	organisasi:perusahaan	Nomina	
kayan	organisasi:perusahaan,wilayah:kecamatan	Nomina	
kayangan	wilayah:kecamatan		
kayu	wilayah:kecamatan	Nomina	
kebab	organisasi:perusahaan	Nomina	
kebayoran	wilayah:kecamatan	Nomina	proper
kebo	wilayah:kecamatan		
kebon	wilayah:kecamatan	Nomina	locus
kebumen	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
kebun	wilayah:kecamatan	Nomina	
kecil	wilayah:kecamatan,wilayah:provinsi	Adjektiva	
kecubung	wilayah:kecamatan	Nomina	
kedamaian	wilayah:kecamatan	Nomina	
kedaung	organisasi:perusahaan	Nomina	
kediri	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
kedondong	wilayah:kecamatan	Nomina	
kedung	wilayah:kecamatan	Nomina	
keerom	wilayah:kabupaten-kota	Nomina	proper
kejuruan	wilayah:kecamatan	Nomina	
kelam	wilayah:kecamatan	Adjektiva	
kelapa	wilayah:kecamatan	Nomina	
kelara	wilayah:kecamatan	Nomina	
kelayang	wilayah:kecamatan	Nomina	
keliling	wilayah:kecamatan	Nomina	
kelinci	organisasi:perusahaan	Nomina	
keling	wilayah:kecamatan	Nomina	proper
kelua	wilayah:kecamatan	Nomina	
keluang	wilayah:kecamatan	Nomina	
keluarga	organisasi:perusahaan	Nomina	
kelumpang	wilayah:kecamatan	Nomina	
kemal	orang:nama-depan	Adjektiva	
kemang	wilayah:kecamatan	Nomina	
kemas	organisasi:perusahaan	Adjektiva	
kemasan	organisasi:perusahaan	Nomina	
kemayoran	wilayah:kecamatan	Nomina	proper
kembang	wilayah:kecamatan	Verba	
kembangan	wilayah:kecamatan	Nomina	
kembar	wilayah:kecamatan	Adjektiva	
kembaran	wilayah:kecamatan	Nomina	
kembu	wilayah:kecamatan	Nomina	
kemiri	wilayah:kecamatan	Nomina	
kempas	wilayah:kecamatan		
kemumu	wilayah:kecamatan	Nomina	
kemuning	wilayah:kecamatan	Nomina	
ken	orang:nama-depan	Nomina	
kenanga	wilayah:kecamatan	Nomina	
kenangan	organisasi:perusahaan	Nomina	
kenas	orang:nama-depan	Nomina	
kencana	organisasi:perusahaan,wilayah:kecamatan		
kencong	wilayah:kecamatan	Adjektiva	
kendal	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
kendaraan	organisasi:perusahaan	Nomina	
kendari	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
kendit	wilayah:kecamatan	Nomina	
kenyam	wilayah:kecamatan	Verba	
kepahiang	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
kepala	wilayah:kecamatan	Nomina	
kepayang	wilayah:kecamatan	Nomina	
kepil	wilayah:kecamatan	Adjektiva	
kepulauan	wilayah:kabupaten-kota,wilayah:kecamatan,wilayah:provinsi	Nomina	
kepung	wilayah:kecamatan	Verba	
kerajaan	wilayah:kecamatan	Nomina	
keramat	wilayah:kecamatan	Adjektiva	
keramik	organisasi:perusahaan	Nomina	
kerek	wilayah:kecamatan	Nomina	
keresidenan	wilayah:kabupaten-kota	Nomina	
kereta	organisasi:perusahaan		
kerinci	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
keris	organisasi:perusahaan	Nomina	
kerkap	wilayah:kecamatan		
kertak	wilayah:kecamatan	Nomina	
kertas	organisasi:perusahaan	Nomina	
keruh	wilayah:kecamatan	Adjektiva	
kesambi	wilayah:kecamatan	Nomina	
kesuma	orang:nama-depan		
ketapang	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
kian	organisasi:perusahaan,wilayah:kecamatan	Nomina	
kiara	orang:nama-depan	Nomina	
kiat	organisasi:perusahaan	Verba	
kidul	wilayah:kecamatan	Nomina	
kijang	wilayah:kecamatan	Nomina	
kilangan	wilayah:kecamatan	Nomina	
kilat	organisasi:perusahaan	Nomina	
kilo	wilayah:kecamatan	Nomina	
kim	orang:nama-depan	Nomina	
kimia	organisasi:perusahaan	Nomina	
kimo	orang:nama-depan	Nomina	
kiong	orang:nama-depan		
kirana	orang:nama-depan,organisasi:perusahaan	Nomina	
kiri	wilayah:kecamatan	Nomina	
kisar	wilayah:kecamatan	Nomina	
kisaran	wilayah:kecamatan	Nomina	
kisi	organisasi:perusahaan	Nomina	
klangenan	wilayah:kecamatan	Nomina	
klaten	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
kliring	organisasi:perusahaan	Nomina	
kliwon	wilayah:kecamatan	Nomina	tempo
klungkung	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
kobak	orang:nama-keluarga	Nomina	
kodi	wilayah:kecamatan	Nomina	
koja	wilayah:kecamatan	Nomina	
kok	orang:nama-depan,wilayah:kecamatan	Nomina	
kokas	wilayah:kecamatan		
kokoh	organisasi:perusahaan		
kolaka	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
koman	orang:nama-keluarga	Nomina	
komersial	organisasi:perusahaan	Adjektiva	
komoditi	organisasi:perusahaan		
komodo	organisasi:perusahaan,wilayah:kecamatan	Nomina	
kompas	organisasi:perusahaan	Nomina	
kompetisi	organisasi:perusahaan	Nomina	
komunikasi	organisasi:perusahaan		
konawe	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
kongsi	organisasi:perusahaan	Nomina	
konstruksi	organisasi:perusahaan	Nomina	
kontinental	organisasi:perusahaan	Adjektiva	
kopi	organisasi:perusahaan	Nomina	
kosambi	wilayah:kecamatan		
kota	organisasi:perusahaan,wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
kotabaru	wilayah:kabupaten-kota	Nomina	proper
kotagede	wilayah:kecamatan	Nomina	locus
kotamobagu	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
kramat	wilayah:kecamatan	Nomina	proper
kraton	wilayah:kecamatan	Nomina	locus
kreasi	organisasi:perusahaan	Nomina	
kreatif	organisasi:perusahaan		
kredit	organisasi:perusahaan	Nomina	
kretek	wilayah:kecamatan	Nomina	loan
krida	organisasi:perusahaan		
krista	orang:nama-depan	Nomina	
krom	organisasi:perusahaan		
kuala	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
kuang	wilayah:kecamatan	Nomina	
kuari	wilayah:kecamatan	Nomina	
kubah	organisasi:perusahaan	Nomina	
kubang	wilayah:kecamatan	Nomina	
kubu	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
kubung	wilayah:kecamatan	Nomina	
kudu	wilayah:kecamatan	Nomina	
kudus	wilayah:kabupaten-kota,wilayah:kecamatan	Adjektiva	
kuis	wilayah:kecamatan	Verba	
kuku	organisasi:perusahaan	Nomina	
kulim	wilayah:kecamatan	Nomina	
kulon	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
kumai	wilayah:kecamatan	Nomina	
kumala	orang:nama-keluarga,organisasi:perusahaan		
kumbang	wilayah:kecamatan		
kundur	wilayah:kecamatan	Nomina	
kunduran	wilayah:kecamatan	Verba	
kuning	wilayah:kecamatan	Nomina	
kuningan	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	tempo
kunir	wilayah:kecamatan		
kunyit	wilayah:kecamatan	Nomina	
kupang	organisasi:perusahaan,wilayah:kabupaten-kota,wilayah:kecamatan		
kur	wilayah:kecamatan	Nomina	
kuras	wilayah:kecamatan	Nomina	
kurau	wilayah:kecamatan	Nomina	
kurik	wilayah:kecamatan	Nomina	
kuripan	wilayah:kecamatan	Nomina	
kurun	wilayah:kecamatan	Nomina	
kusuma	orang:nama-keluarga,organisasi:perusahaan	Nomina	
kuta	wilayah:kecamatan	Verba	
labang	wilayah:kecamatan	Verba	
label	organisasi:perusahaan	Nomina	
laboratorium	organisasi:perusahaan	Nomina	
labu	wilayah:kecamatan	Nomina	
labuhanbatu	wilayah:kabupaten-kota	Nomina	proper
lada	wilayah:kecamatan	Nomina	
lagan	wilayah:kecamatan	Nomina	
lago	wilayah:kecamatan	Nomina	
lahat	wilayah:kabupaten-kota,wilayah:kecamatan		
lais	wilayah:kecamatan	Nomina	
laju	organisasi:perusahaan	Adjektiva	
laksamana	wilayah:kecamatan	Nomina	
laksana	organisasi:perusahaan	Nomina	
laksmi	orang:nama-depan	Nomina	proper
lala	wilayah:kecamatan	Nomina	
lalu	orang:nama-keluarga	Verba	
lama	organisasi:perusahaan,wilayah:kecamatan	Adjektiva	
lamandau	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
lambai	wilayah:kecamatan	Verba	
lambert	orang:nama-depan	Nomina	
lambu	wilayah:kecamatan	Nomina	
lamongan	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
lampam	wilayah:kecamatan	Nomina	
lampung	organisasi:perusahaan,wilayah:kabupaten-kota,wilayah:provinsi	Nomina	
lana	orang:nama-depan	Nomina	
landak	wilayah:kabupaten-kota	Nomina	
landasan	wilayah:kecamatan	Nomina	
landau	orang:nama-keluarga	Verba	
lang	organisasi:perusahaan	Nomina	
langgam	wilayah:kecamatan	Nomina	
langgeng	organisasi:perusahaan	Adjektiva	
langkat	wilayah:kabupaten-kota	Nomina	
langsa	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
langsat	wilayah:kecamatan	Nomina	
lantung	wilayah:kecamatan	Verba	
lapang	wilayah:kecamatan	Adjektiva	
larangan	wilayah:kecamatan	Nomina	
laras	wilayah:kecamatan	Nomina	
lasi	wilayah:kecamatan	Adjektiva	
laung	wilayah:kecamatan		
laur	wilayah:kecamatan	Adjektiva	
laut	orang:nama-keluarga,organisasi:perusahaan,wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
lautan	organisasi:perusahaan	Nomina	
lavender	organisasi:perusahaan		
lawa	wilayah:kecamatan	Nomina	
lawan	wilayah:kecamatan	Nomina	
lawang	organisasi:perusahaan,wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
lawas	wilayah:kabupaten-kota,wilayah:kecamatan	Adjektiva	
lawe	wilayah:kecamatan		
laweyan	wilayah:kecamatan	Nomina	proper
layar	organisasi:perusahaan,wilayah:kecamatan	Nomina	
lebak	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
lebang	orang:nama-keluarga	Adjektiva	
lebar	wilayah:kecamatan	Adjektiva	
lebong	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
lega	orang:nama-keluarga	Adjektiva	
legok	wilayah:kecamatan		
lekok	wilayah:kecamatan		
lela	wilayah:kecamatan	Nomina	
lelak	wilayah:kecamatan		
leles	wilayah:kecamatan	Nomina	
lembah	wilayah:kecamatan	Nomina	
lembak	wilayah:kecamatan		
lembang	wilayah:kecamatan	Adjektiva	
lembar	wilayah:kecamatan	Nomina	
lembata	wilayah:kabupaten-kota	Nomina	proper
lembur	wilayah:kecamatan	Nomina	
lena	orang:nama-depan		
lencir	wilayah:kecamatan	Adjektiva	
lengkong	wilayah:kecamatan	Nomina	
lenteng	wilayah:kecamatan		
leo	orang:nama-depan,orang:nama-keluarga,organisasi:perusahaan	Nomina	locus
lestari	orang:nama-keluarga,organisasi:perusahaan		
lesung	wilayah:kecamatan	Nomina	
lewa	wilayah:kecamatan		
lhokseumawe	wilayah:kabupaten-kota	Nomina	proper
liana	orang:nama-depan	Nomina	
liang	orang:nama-depan,orang:nama-keluarga,wilayah:kecamatan	Nomina	
licin	wilayah:kecamatan	Adjektiva	
liga	organisasi:perusahaan	Nomina	
lili	orang:nama-depan,wilayah:kecamatan	Nomina	
lilin	wilayah:kecamatan	Nomina	
lima	orang:nama-keluarga,organisasi:perusahaan,wilayah:kabupaten-kota,wilayah:kecamatan		numeral
