token	kelas	kbbi_pos	kbbi_semantic_class
aurum	orang:nama-depan	Nomina	
auto	organisasi:perusahaan		
awai	wilayah:kecamatan	Verba	
awal	organisasi:perusahaan	Nomina	
awan	wilayah:kecamatan		
awang	wilayah:kecamatan	Nomina	
ayah	wilayah:kecamatan	Nomina	
ayat	orang:nama-depan,orang:nama-keluarga	Nomina	
ayu	orang:nama-depan,orang:nama-keluarga	Adjektiva	
aziz	orang:nama-depan	Adjektiva	
baba	organisasi:perusahaan	Nomina	
babah	wilayah:kecamatan		
babakan	wilayah:kecamatan	Nomina	
babang	wilayah:kecamatan	Verba	
babar	wilayah:kecamatan	Verba	
babat	wilayah:kecamatan	Verba	
bada	wilayah:kecamatan	Verba	
badak	wilayah:kecamatan	Nomina	
badar	wilayah:kecamatan	Nomina	
badau	wilayah:kecamatan	Nomina	
badung	wilayah:kabupaten-kota	Nomina	
bagan	wilayah:kecamatan	Nomina	
bagas	orang:nama-depan	Adjektiva	
bagian	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
bagor	wilayah:kecamatan	Nomina	
bagus	orang:nama-depan,orang:nama-keluarga	Adjektiva	
bah	wilayah:kecamatan	Nomina	
bahagia	organisasi:perusahaan,wilayah:kecamatan	Nomina	
bahana	organisasi:perusahaan	Nomina	
bahar	orang:nama-keluarga,wilayah:kecamatan	Nomina	
bahari	organisasi:perusahaan,wilayah:kecamatan	Adjektiva	
baharu	wilayah:kecamatan		
bahtera	organisasi:perusahaan	Nomina	
baja	wilayah:kecamatan	Nomina	
bakam	wilayah:kecamatan	Nomina	
bakar	orang:nama-depan,orang:nama-keluarga	Verba	
baki	wilayah:kecamatan	Nomina	
bakti	wilayah:kecamatan	Nomina	
bakung	wilayah:kecamatan	Nomina	
bala	wilayah:kecamatan	Nomina	
balai	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
balak	wilayah:kecamatan	Nomina	
balam	wilayah:kecamatan	Nomina	
balangan	wilayah:kabupaten-kota	Nomina	proper
balen	wilayah:kecamatan	Nomina	
bali	organisasi:perusahaan,wilayah:provinsi	Nomina	proper
balik	wilayah:kecamatan	Nomina	
balikpapan	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
balong	wilayah:kecamatan	Nomina	
balung	wilayah:kecamatan	Nomina	
bambang	orang:nama-depan,wilayah:kecamatan	Adjektiva	
bambanglipuro	wilayah:kecamatan	Nomina	locus
bancak	wilayah:kecamatan	Nomina	
bancar	wilayah:kecamatan	Adjektiva	
banda	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
bandar	orang:nama-depan,organisasi:perusahaan,wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
bandara	organisasi:perusahaan	Nomina	
banding	wilayah:kecamatan	Nomina	
bando	orang:nama-depan	Nomina	
bandongan	wilayah:kecamatan	Nomina	
bandring	wilayah:kecamatan		
bandung	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
bandungan	wilayah:kecamatan	Nomina	proper
bang	wilayah:kecamatan	Nomina	
banggai	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
bangka	organisasi:perusahaan,wilayah:kabupaten-kota,wilayah:kecamatan,wilayah:provinsi		
bangkalan	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
bangli	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
bangsa	wilayah:kecamatan	Nomina	
bangsal	wilayah:kecamatan	Nomina	
bangun	organisasi:perusahaan,wilayah:kecamatan	Verba	
bangunan	organisasi:perusahaan	Nomina	
banguntapan	wilayah:kecamatan	Nomina	locus
banjang	wilayah:kecamatan	Nomina	
banjar	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
banjaran	wilayah:kecamatan	Nomina	
banjarbaru	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
banjarmasin	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
banjarnegara	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
banjarsari	wilayah:kecamatan	Nomina	proper
bank	organisasi:perusahaan	Nomina	
bantaeng	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
bantaran	wilayah:kecamatan	Nomina	
banteng	wilayah:kecamatan	Nomina	
bantul	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
banua	wilayah:kecamatan	Nomina	
banyak	wilayah:kecamatan	Adjektiva	
banyakan	wilayah:kecamatan		
banyuasin	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
banyubiru	wilayah:kecamatan	Nomina	proper
banyumanik	wilayah:kecamatan	Nomina	proper
banyumas	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
banyuwangi	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
bara	orang:nama-keluarga,organisasi:perusahaan,wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
baras	wilayah:kecamatan		
barat	organisasi:perusahaan,wilayah:kabupaten-kota,wilayah:kecamatan,wilayah:provinsi		
bareng	wilayah:kecamatan	Adverbia	
barisan	wilayah:kecamatan	Nomina	
barita	wilayah:kecamatan	Nomina	
barometer	organisasi:perusahaan	Nomina	
baron	orang:nama-depan,orang:nama-keluarga,wilayah:kecamatan	Nomina	
